SALES BY BRANCH
Shop,Product Code,Product Name,Total Quantity
AWAISIA,0004510006,Nutraxin Omega-3 2000mg Cap 60s (1s),3
AWAISIA,0004510011,Nutraxin Vitamin D3 1000IU Tab 120s (1s),1
AWAISIA,0004510013,Nutraxin Ultra Men Tab 60s (1s),1
AWAISIA,003271160316,Healthmax o3 fish oil 30s softgels 1s,1
AWAISIA,003271160318,Healthmax epos 30s soft gel 1s,2
AWAISIA,003271160326,Healthmax Calzm 30s Softgel 1s,2
AWAISIA,003271341131,MY-D3 Vitamin D3 cap 1s,43
AWAISIA,004510003,Nutraxin Biotin 5000mcg Tab 30s (1s),1
AWAISIA,00451880106,Nutraxin Magnesium 250 mg Tablet (60s) 1s,1
AWAISIA,00451880108,Nutraxin B12 vitamin Sublingual Tablet (60s) 1s,2
AWAISIA,00451880112,Womens Multi Vitamin Complex Tablet (60s) 1s,3
AWAISIA,010651180290,Healthmax Solam Men Tab 1s,1
AWAISIA,010651240273,Health Max Asron tab 30s,89
AWAISIA,01065810168,Gluvit-s 500mg cap 30s,30
AWAISIA,10651240224,Health Max Arthoflex tab 60 1s,1
AWAISIA,891047,Gluvit-S Sc Sunscreen Spf 60 30ml 1s,1
AWAISIA,891048,Gluvit-S Skin Brightening Cream 30gm 1s,3
AWAISIA,891049,Gluvit-S Whitening Soap 75gm 1s,1
AWAISIA,891458,Gluvit-S Anti Acne Serum 30ml 1s,1
AWAISIA,891459,Gluvit-S Brightening Serum 30ml 1s,2
AWAISIA,892977,Gluvit-S Collagen Hyaluronic Shampoo 250ml 1s,1
AWAISIA,893155,Gluvit-S Moisturizer For Normal 50ml 1s,2
AWAISIA,893156,Gluvit-S Face Washing Gel 100ml 1s,1
AWAISIA,893157,Gluvit-S Face Wash 100ml 1s,1
AWAISIA,893167,Bioxsine Keratin Shampoo 300ml 1s,1
AWAISIA,,SHOP TOTAL,195

BAHRIA TOWN,0004510002,Nutraxin Artroflex HYA-C-II Tab 90s (1s),3
BAHRIA TOWN,0004510006,Nutraxin Omega-3 2000mg Cap 60s (1s),7
BAHRIA TOWN,0004510009,Nutraxin B Vitamin Complex Tab 60s (1s),1
BAHRIA TOWN,0004510011,Nutraxin Vitamin D3 1000IU Tab 120s (1s),3
BAHRIA TOWN,003271160316,Healthmax o3 fish oil 30s softgels 1s,2
BAHRIA TOWN,003271160318,Healthmax epos 30s soft gel 1s,1
BAHRIA TOWN,003271160326,Healthmax Calzm 30s Softgel 1s,1
BAHRIA TOWN,003271341131,MY-D3 Vitamin D3 cap 1s,47
BAHRIA TOWN,004510003,Nutraxin Biotin 5000mcg Tab 30s (1s),4
BAHRIA TOWN,00451880106,Nutraxin Magnesium 250 mg Tablet (60s) 1s,7
BAHRIA TOWN,00451880109,Nutraxin Omega-3+CoQ-10 (60s) 1s,1
BAHRIA TOWN,00451880111,Nutraxin Mens Multi Vitamin Complex Tablet (60s) 1s,3
BAHRIA TOWN,00451880112,Womens Multi Vitamin Complex Tablet (60s) 1s,2
BAHRIA TOWN,0106510705531,Gluvit-s Sc oral liquid 30ml 15s,17
BAHRIA TOWN,010651070566,Gluvit-S Febectal Cap 30s,60
BAHRIA TOWN,010651140601,Gluvit S Collagen Febgen Liquid Supplement 30ml 1s,1
BAHRIA TOWN,010651240273,Health Max Asron tab 30s,22
BAHRIA TOWN,01065810168,Gluvit-s 500mg cap 30s,107
BAHRIA TOWN,886070,Bioxsine Dernagen fort shampo 300ml 1s,1
BAHRIA TOWN,889774,Bioxsine Shampoo Forte 100ml 1s,1
BAHRIA TOWN,890625,Nutraxin Zinc 15mg Tab (100s) 1s,1
BAHRIA TOWN,891046,Gluvit-S Face Body Lotion 100ml 1s,1
BAHRIA TOWN,891047,Gluvit-S Sc Sunscreen Spf 60 30ml 1s,2
BAHRIA TOWN,891048,Gluvit-S Skin Brightening Cream 30gm 1s,8
BAHRIA TOWN,891049,Gluvit-S Whitening Soap 75gm 1s,2
BAHRIA TOWN,891460,Gluvit-S Vitamin C Serum 30ml 1s,2
BAHRIA TOWN,892057,Gluvit-S Collagen Powder 300G 1s,3
BAHRIA TOWN,893155,Gluvit-S Moisturizer For Normal 50ml 1s,1
BAHRIA TOWN,893157,Gluvit-S Face Wash 100ml 1s,3
BAHRIA TOWN,893164,Bioxsine Argan Conditioner 250ml 1s,1
BAHRIA TOWN,893166,Bioxsine Collagen Shampoo 300ml 1s,1
BAHRIA TOWN,893167,Bioxsine Keratin Shampoo 300ml 1s,1
BAHRIA TOWN,,SHOP TOTAL,317

IQBAL TOWN,0004510004,Nutraxin Coenzyme Q-10 100mg Cap (30s) 1s,1
IQBAL TOWN,0004510006,Nutraxin Omega-3 2000mg Cap 60s (1s),1
IQBAL TOWN,0004510009,Nutraxin B Vitamin Complex Tab 60s (1s),1
IQBAL TOWN,0004510013,Nutraxin Ultra Men Tab 60s (1s),1
IQBAL TOWN,003271160316,Healthmax o3 fish oil 30s softgels 1s,1
IQBAL TOWN,003271160318,Healthmax epos 30s soft gel 1s,1
IQBAL TOWN,003271341131,MY-D3 Vitamin D3 cap 1s,79
IQBAL TOWN,00451880106,Nutraxin Magnesium 250 mg Tablet (60s) 1s,1
IQBAL TOWN,00451880108,Nutraxin B12 vitamin Sublingual Tablet (60s) 1s,2
IQBAL TOWN,0106510705531,Gluvit-s Sc oral liquid 30ml 15s,15
IQBAL TOWN,010651140601,Gluvit S Collagen Febgen Liquid Supplement 30ml 1s,1
IQBAL TOWN,01065810168,Gluvit-s 500mg cap 30s,30
IQBAL TOWN,889774,Bioxsine Shampoo Forte 100ml 1s,2
IQBAL TOWN,891047,Gluvit-S Sc Sunscreen Spf 60 30ml 1s,3
IQBAL TOWN,891048,Gluvit-S Skin Brightening Cream 30gm 1s,5
IQBAL TOWN,891049,Gluvit-S Whitening Soap 75gm 1s,2
IQBAL TOWN,891458,Gluvit-S Anti Acne Serum 30ml 1s,1
IQBAL TOWN,892057,Gluvit-S Collagen Powder 300G 1s,1
IQBAL TOWN,892977,Gluvit-S Collagen Hyaluronic Shampoo 250ml 1s,1
IQBAL TOWN,892978,Gluvit-S Collagen Keratin Shampoo 250ml 1s,1
IQBAL TOWN,892979,Gluvit-S Micellar Water 100ml 1s,1
IQBAL TOWN,893155,Gluvit-S Moisturizer For Normal 50ml 1s,1
IQBAL TOWN,893156,Gluvit-S Face Washing Gel 100ml 1s,1
IQBAL TOWN,893157,Gluvit-S Face Wash 100ml 1s,4
IQBAL TOWN,,SHOP TOTAL,157

JOHAR TOWN PHARMACY,0004510006,Nutraxin Omega-3 2000mg Cap 60s (1s),4
JOHAR TOWN PHARMACY,0004510013,Nutraxin Ultra Men Tab 60s (1s),4
JOHAR TOWN PHARMACY,003271341131,MY-D3 Vitamin D3 cap 1s,77
JOHAR TOWN PHARMACY,004510003,Nutraxin Biotin 5000mcg Tab 30s (1s),1
JOHAR TOWN PHARMACY,00451880106,Nutraxin Magnesium 250 mg Tablet (60s) 1s,2
JOHAR TOWN PHARMACY,00451880108,Nutraxin B12 vitamin Sublingual Tablet (60s) 1s,3
JOHAR TOWN PHARMACY,00451880109,Nutraxin Omega-3+CoQ-10 (60s) 1s,3
JOHAR TOWN PHARMACY,00451880110,B-One Formula Tablet (90s) 1s,4
JOHAR TOWN PHARMACY,00451880111,Nutraxin Mens Multi Vitamin Complex Tablet (60s) 1s,3
JOHAR TOWN PHARMACY,00451880112,Womens Multi Vitamin Complex Tablet (60s) 1s,1
JOHAR TOWN PHARMACY,010651140601,Gluvit S Collagen Febgen Liquid Supplement 30ml 1s,1
JOHAR TOWN PHARMACY,010651240273,Health Max Asron tab 30s,30
JOHAR TOWN PHARMACY,010651340334,Healthmax Magnesium Glycinate tab (30) 1s,1
JOHAR TOWN PHARMACY,01065810168,Gluvit-s 500mg cap 30s,60
JOHAR TOWN PHARMACY,891048,Gluvit-S Skin Brightening Cream 30gm 1s,4
JOHAR TOWN PHARMACY,891049,Gluvit-S Whitening Soap 75gm 1s,2
JOHAR TOWN PHARMACY,891458,Gluvit-S Anti Acne Serum 30ml 1s,1
JOHAR TOWN PHARMACY,892057,Gluvit-S Collagen Powder 300G 1s,2
